text,label
The meeting was moved to in 20 minutes.,ham
Can you send me the address of the airport?,ham
Your appointment is confirmed for 5 pm. :),ham
The meeting was moved to tomorrow morning.,ham
Thanks for your help today! Let me know.,ham
Please send me the file when you have time. Let me know.,ham
I will be at the airport around 5 pm. Let me know.,ham
"I'm running a little late, see you soon.",ham
"I bought the tickets, everything is ready. Thanks.",ham
Special promotion: receive $250 instantly. Tap to continue.,spam
The train arrives at 7:30.,ham
I will be at the office around tonight. See you.,ham
"Hey Chris, are we still meeting at after lunch?",ham
"I bought the tickets, everything is ready.",ham
"Hey Kate, are we still meeting at in 20 minutes?",ham
Special promotion: receive $1000 instantly. Tap to continue.,spam
Can you call me when you get home? :),ham
You are pre-approved for a special loan. Apply now. Don't miss out!,spam
I will be at the airport around tonight. See you.,ham
I'll call you after lunch.,ham
I'll call you after lunch.,ham
WINNER! Call now to receive your $2000 bonus.,spam
I will be at the cafe around after lunch.,ham
You have been chosen for an exclusive cash prize of $500. Terms apply.,spam
I left the keys on the table. See you.,ham
Can you call me when you get home?,ham
The meeting was moved to after lunch.,ham
"Hey Chris, are we still meeting at 7:30?",ham
"Congratulations, lucky customer! Your reward code is 1934. Reply STOP to unsubscribe.",spam
Congratulations! You won $250. Claim your prize now!,spam
Please send me the file when you have time.,ham
Thanks for your help today! See you.,ham
You are pre-approved for a special loan. Apply now.,spam
The meeting was moved to 7:30.,ham
Your verification code is 4821. Do not share it with anyone. Thanks.,ham
Don't forget to bring the notes tomorrow. See you.,ham
WINNER! Call now to receive your $250 bonus.,spam
I will be at the gym around tomorrow morning.,ham
I'll call you after lunch. Let me know.,ham
Can you call me when you get home?,ham
I'll call you after lunch. :),ham
What do you want for dinner tonight?,ham
URGENT: Your number has been selected for a $100 reward. Reply WIN now. Reply STOP to unsubscribe.,spam
I will be at the school around tonight.,ham
Can you call me when you get home?,ham
Thanks for your help today!,ham
Your verification code is 4821. Do not share it with anyone.,ham
Are you free this weekend? Thanks.,ham
The train arrives at tonight.,ham
Happy birthday! Hope you have a great day.,ham
"I'm running a little late, see you soon.",ham
Your verification code is 5502. Do not share it with anyone.,ham
The meeting was moved to tomorrow morning.,ham
"I'm running a little late, see you soon.",ham
I'll call you after lunch. See you.,ham
Special promotion: receive $50 instantly. Tap to continue. Terms apply.,spam
"Hey Sam, are we still meeting at tonight? :)",ham
Happy birthday! Hope you have a great day.,ham
Free gift waiting for you. Click the link to claim $2000. Don't miss out!,spam
Your appointment is confirmed for in 20 minutes.,ham
Let's meet near the school.,ham
FREE entry into our prize draw. Reply YES now. Reply STOP to unsubscribe.,spam
Can you call me when you get home?,ham
I left the keys on the table.,ham
I will be at the airport around tonight. Let me know.,ham
Let's meet near the home.,ham
Limited offer: get a free voucher worth $100. Act now! Offer expires today.,spam
Don't forget to bring the notes tomorrow. :),ham
Mom asked if you are coming home tonight.,ham
Happy birthday! Hope you have a great day.,ham
I left the keys on the table. See you.,ham
I'll call you after lunch. Thanks.,ham
The meeting was moved to 7:30.,ham
Thanks for your help today!,ham
Let's meet near the library.,ham
Special promotion: receive $250 instantly. Tap to continue. Reply STOP to unsubscribe.,spam
Can you call me when you get home? Let me know.,ham
Can you send me the address of the cafe?,ham
The train arrives at 6 pm. See you.,ham
Let's meet near the gym.,ham
Please send me the file when you have time. :),ham
Are you free this weekend?,ham
"Congratulations, lucky customer! Your reward code is 8844. Terms apply.",spam
Can you send me the address of the library?,ham
"I bought the tickets, everything is ready.",ham
I left the keys on the table.,ham
Can you call me when you get home?,ham
Let's meet near the cafe.,ham
Mom asked if you are coming home tonight. Thanks.,ham
Claim your reward today. Text CLAIM to receive $100. Don't miss out!,spam
Your appointment is confirmed for 6 pm.,ham
"I'm running a little late, see you soon.",ham
What do you want for dinner tonight? Thanks.,ham
What do you want for dinner tonight? :),ham
Don't forget to bring the notes tomorrow.,ham
"I'm running a little late, see you soon. Let me know.",ham
The train arrives at in 20 minutes.,ham
You are pre-approved for a special loan. Apply now.,spam
Can you call me when you get home? Thanks.,ham
Thanks for your help today!,ham
I left the keys on the table. Thanks.,ham
The meeting was moved to 7:30.,ham
Are you free this weekend? See you.,ham
What do you want for dinner tonight?,ham
The meeting was moved to tonight.,ham
Your verification code is 1934. Do not share it with anyone. See you.,ham
WINNER! Call now to receive your $1000 bonus.,spam
Congratulations! You won $250. Claim your prize now! Reply STOP to unsubscribe.,spam
Happy birthday! Hope you have a great day.,ham
I'll call you after lunch.,ham
The meeting was moved to in 20 minutes.,ham
Thanks for your help today!,ham
What do you want for dinner tonight?,ham
Can you call me when you get home?,ham
The meeting was moved to tonight.,ham
Limited offer: get a free voucher worth $500. Act now!,spam
Limited offer: get a free voucher worth $2000. Act now!,spam
I will be at the station around tonight. See you.,ham
"Hey Alex, are we still meeting at after lunch?",ham
"I'm running a little late, see you soon.",ham
Don't forget to bring the notes tomorrow. See you.,ham
"I bought the tickets, everything is ready. See you.",ham
Don't forget to bring the notes tomorrow.,ham
Claim your reward today. Text CLAIM to receive $100.,spam
You are pre-approved for a special loan. Apply now. Terms apply.,spam
Thanks for your help today!,ham
I will be at the airport around 6 pm. See you.,ham
"I'm running a little late, see you soon.",ham
FREE entry into our prize draw. Reply YES now.,spam
Don't forget to bring the notes tomorrow.,ham
WINNER! Call now to receive your $2000 bonus.,spam
FREE entry into our prize draw. Reply YES now.,spam
Are you free this weekend?,ham
Can you send me the address of the airport?,ham
"I bought the tickets, everything is ready.",ham
"Hey Dan, are we still meeting at tomorrow morning?",ham
Please send me the file when you have time.,ham
Special promotion: receive $2000 instantly. Tap to continue. Offer expires today.,spam
Don't forget to bring the notes tomorrow.,ham
I will be at the home around 7:30.,ham
You are pre-approved for a special loan. Apply now. Offer expires today.,spam
Act fast! You've won a brand new phone. Claim today.,spam
Your verification code is 8844. Do not share it with anyone. Thanks.,ham
Act fast! You've won a brand new phone. Claim today. Terms apply.,spam
Are you free this weekend? :),ham
I will be at the library around 7:30.,ham
Let's meet near the library.,ham
Act fast! You've won a brand new phone. Claim today.,spam
I'll call you after lunch. Let me know.,ham
Act fast! You've won a brand new phone. Claim today. Don't miss out!,spam
The meeting was moved to tomorrow morning. :),ham
Happy birthday! Hope you have a great day. Thanks.,ham
Your appointment is confirmed for in 20 minutes. See you.,ham
The train arrives at tomorrow morning.,ham
Act fast! You've won a brand new phone. Claim today.,spam
Free gift waiting for you. Click the link to claim $50.,spam
URGENT: Your number has been selected for a $500 reward. Reply WIN now. Terms apply.,spam
Your appointment is confirmed for in 20 minutes.,ham
Special promotion: receive $250 instantly. Tap to continue.,spam
You are pre-approved for a special loan. Apply now.,spam
Mom asked if you are coming home tonight.,ham
I will be at the cafe around 7:30.,ham
Can you call me when you get home?,ham
The train arrives at in 20 minutes.,ham
You are pre-approved for a special loan. Apply now. Reply STOP to unsubscribe.,spam
"I bought the tickets, everything is ready. Let me know.",ham
What do you want for dinner tonight?,ham
The meeting was moved to tonight.,ham
"I bought the tickets, everything is ready.",ham
Please send me the file when you have time.,ham
Your appointment is confirmed for after lunch.,ham
Your verification code is 8844. Do not share it with anyone.,ham
"I'm running a little late, see you soon. :)",ham
Thanks for your help today!,ham
Happy birthday! Hope you have a great day.,ham
What do you want for dinner tonight? :),ham
Don't forget to bring the notes tomorrow.,ham
I left the keys on the table.,ham
I'll call you after lunch.,ham
Your appointment is confirmed for after lunch.,ham
Can you send me the address of the home?,ham
Don't forget to bring the notes tomorrow. :),ham
Free gift waiting for you. Click the link to claim $500. Don't miss out!,spam
The meeting was moved to after lunch.,ham
Please send me the file when you have time.,ham
Don't forget to bring the notes tomorrow. Thanks.,ham
Please send me the file when you have time.,ham
I left the keys on the table.,ham
Act fast! You've won a brand new phone. Claim today.,spam
Let's meet near the gym.,ham
Claim your reward today. Text CLAIM to receive $500.,spam
"I'm running a little late, see you soon. :)",ham
I'll call you after lunch.,ham
"Hey Dan, are we still meeting at tonight?",ham
"I bought the tickets, everything is ready. Let me know.",ham
Thanks for your help today!,ham
Are you free this weekend?,ham
The meeting was moved to in 20 minutes.,ham
"I bought the tickets, everything is ready.",ham
Limited offer: get a free voucher worth $1000. Act now!,spam
Can you call me when you get home?,ham
Can you call me when you get home?,ham
Don't forget to bring the notes tomorrow.,ham
Mom asked if you are coming home tonight.,ham
Your appointment is confirmed for 6 pm.,ham
Can you call me when you get home?,ham
I left the keys on the table. Thanks.,ham
Are you free this weekend?,ham
I left the keys on the table.,ham
"I bought the tickets, everything is ready.",ham
Final notice: your prize is waiting. Respond now to collect it. Offer expires today.,spam
"Hey Chris, are we still meeting at 7:30?",ham
Final notice: your prize is waiting. Respond now to collect it. Terms apply.,spam
Congratulations! You won $100. Claim your prize now! Terms apply.,spam
I'll call you after lunch.,ham
I'll call you after lunch.,ham
What do you want for dinner tonight?,ham
I'll call you after lunch.,ham
"I'm running a little late, see you soon.",ham
WINNER! Call now to receive your $100 bonus.,spam
Don't forget to bring the notes tomorrow.,ham
The meeting was moved to in 20 minutes.,ham
Let's meet near the school.,ham
I will be at the school around 5 pm.,ham
Can you send me the address of the cafe? Thanks.,ham
FREE entry into our prize draw. Reply YES now. Offer expires today.,spam
Happy birthday! Hope you have a great day.,ham
Thanks for your help today!,ham
Act fast! You've won a brand new phone. Claim today.,spam
The train arrives at tomorrow morning.,ham
Your verification code is 4821. Do not share it with anyone.,ham
Thanks for your help today!,ham
Happy birthday! Hope you have a great day.,ham
"I'm running a little late, see you soon.",ham
"Hey Mike, are we still meeting at after lunch?",ham
"I bought the tickets, everything is ready.",ham
The train arrives at 5 pm.,ham
Are you free this weekend? :),ham
I'll call you after lunch.,ham
Your appointment is confirmed for in 20 minutes.,ham
Thanks for your help today!,ham
Your appointment is confirmed for 5 pm.,ham
Free gift waiting for you. Click the link to claim $500. Don't miss out!,spam
"Hey Alex, are we still meeting at tomorrow morning?",ham
Let's meet near the library.,ham
Can you call me when you get home?,ham
Happy birthday! Hope you have a great day.,ham
Don't forget to bring the notes tomorrow. See you.,ham
Thanks for your help today!,ham
Thanks for your help today! Let me know.,ham
Thanks for your help today! Thanks.,ham
I left the keys on the table.,ham
I left the keys on the table.,ham
"Congratulations, lucky customer! Your reward code is 5502.",spam
Mom asked if you are coming home tonight.,ham
Mom asked if you are coming home tonight. Thanks.,ham
"I'm running a little late, see you soon.",ham
I will be at the gym around in 20 minutes.,ham
I left the keys on the table.,ham
URGENT: Your number has been selected for a $250 reward. Reply WIN now.,spam
Your appointment is confirmed for 7:30. Let me know.,ham
Happy birthday! Hope you have a great day.,ham
Let's meet near the school.,ham
Limited offer: get a free voucher worth $1000. Act now!,spam
Can you send me the address of the school? See you.,ham
Limited offer: get a free voucher worth $100. Act now! Offer expires today.,spam
Are you free this weekend? Thanks.,ham
I left the keys on the table.,ham
Congratulations! You won $2000. Claim your prize now! Offer expires today.,spam
Exclusive deal! Get 90% off today only. Click now.,spam
"I'm running a little late, see you soon.",ham
You have been chosen for an exclusive cash prize of $100.,spam
Can you call me when you get home?,ham
I will be at the library around 5 pm.,ham
Free gift waiting for you. Click the link to claim $50.,spam
Can you send me the address of the office?,ham
Please send me the file when you have time.,ham
What do you want for dinner tonight?,ham
Act fast! You've won a brand new phone. Claim today.,spam
Happy birthday! Hope you have a great day.,ham
"I bought the tickets, everything is ready.",ham
Thanks for your help today!,ham
Can you send me the address of the station? Thanks.,ham
Let's meet near the station. Let me know.,ham
URGENT: Your number has been selected for a $500 reward. Reply WIN now.,spam
Your appointment is confirmed for 6 pm.,ham
The train arrives at tonight.,ham
"I bought the tickets, everything is ready. Thanks.",ham
Let's meet near the cafe.,ham
Are you free this weekend?,ham
WINNER! Call now to receive your $500 bonus. Reply STOP to unsubscribe.,spam
Can you call me when you get home?,ham
The meeting was moved to 7:30.,ham
I will be at the cafe around 7:30.,ham
"I'm running a little late, see you soon.",ham
Can you call me when you get home?,ham
Exclusive deal! Get 90% off today only. Click now. Offer expires today.,spam
Happy birthday! Hope you have a great day. Thanks.,ham
I will be at the home around 7:30. See you.,ham
Let's meet near the airport.,ham
I'll call you after lunch.,ham
"I'm running a little late, see you soon.",ham
Limited offer: get a free voucher worth $50. Act now!,spam
Let's meet near the gym.,ham
I will be at the cafe around tonight.,ham
I left the keys on the table.,ham
I will be at the cafe around after lunch. :),ham
Please send me the file when you have time. See you.,ham
Your appointment is confirmed for tonight.,ham
Your appointment is confirmed for after lunch.,ham
Are you free this weekend? :),ham
"I'm running a little late, see you soon. See you.",ham
What do you want for dinner tonight? See you.,ham
Exclusive deal! Get 90% off today only. Click now.,spam
Your verification code is 8844. Do not share it with anyone.,ham
I'll call you after lunch.,ham
Thanks for your help today!,ham
Let's meet near the home.,ham
Can you call me when you get home? Let me know.,ham
Happy birthday! Hope you have a great day.,ham
Free gift waiting for you. Click the link to claim $100. Terms apply.,spam
"I'm running a little late, see you soon.",ham
I will be at the library around after lunch.,ham
Thanks for your help today! :),ham
Please send me the file when you have time.,ham
What do you want for dinner tonight?,ham
Your appointment is confirmed for in 20 minutes. Let me know.,ham
Your appointment is confirmed for after lunch.,ham
Your appointment is confirmed for after lunch.,ham
Happy birthday! Hope you have a great day. :),ham
"I'm running a little late, see you soon. Thanks.",ham
Please send me the file when you have time. Let me know.,ham
Your verification code is 7710. Do not share it with anyone.,ham
Mom asked if you are coming home tonight.,ham
Don't forget to bring the notes tomorrow. Thanks.,ham
I left the keys on the table.,ham
Let's meet near the gym.,ham
Can you call me when you get home?,ham
The meeting was moved to in 20 minutes.,ham
Can you call me when you get home?,ham
Don't forget to bring the notes tomorrow.,ham
I'll call you after lunch.,ham
"Hey Mike, are we still meeting at tonight?",ham
Limited offer: get a free voucher worth $500. Act now! Reply STOP to unsubscribe.,spam
Exclusive deal! Get 90% off today only. Click now. Don't miss out!,spam
"Hey Chris, are we still meeting at 7:30? Let me know.",ham
"I'm running a little late, see you soon. Let me know.",ham
Are you free this weekend?,ham
Don't forget to bring the notes tomorrow.,ham
Let's meet near the cafe.,ham
Can you call me when you get home?,ham
Exclusive deal! Get 90% off today only. Click now.,spam
URGENT: Your number has been selected for a $2000 reward. Reply WIN now.,spam
Act fast! You've won a brand new phone. Claim today. Reply STOP to unsubscribe.,spam
Your verification code is 1209. Do not share it with anyone. Thanks.,ham
Can you send me the address of the home?,ham
I will be at the airport around tomorrow morning.,ham
"Hey Lena, are we still meeting at tonight?",ham
Act fast! You've won a brand new phone. Claim today. Reply STOP to unsubscribe.,spam
"I'm running a little late, see you soon.",ham
Happy birthday! Hope you have a great day. Let me know.,ham
Please send me the file when you have time.,ham
The meeting was moved to tonight.,ham
Free gift waiting for you. Click the link to claim $100. Offer expires today.,spam
The train arrives at tomorrow morning.,ham
What do you want for dinner tonight?,ham
Special promotion: receive $50 instantly. Tap to continue.,spam
Act fast! You've won a brand new phone. Claim today.,spam
Act fast! You've won a brand new phone. Claim today. Offer expires today.,spam
Mom asked if you are coming home tonight.,ham
Are you free this weekend?,ham
"I'm running a little late, see you soon.",ham
Thanks for your help today!,ham
Can you call me when you get home?,ham
Are you free this weekend?,ham
Congratulations! You won $2000. Claim your prize now!,spam
The meeting was moved to 7:30.,ham
"I bought the tickets, everything is ready.",ham
URGENT: Your number has been selected for a $250 reward. Reply WIN now. Offer expires today.,spam
Thanks for your help today! See you.,ham
I left the keys on the table.,ham
"Hey Alex, are we still meeting at in 20 minutes?",ham
Your verification code is 8844. Do not share it with anyone.,ham
WINNER! Call now to receive your $50 bonus.,spam
The meeting was moved to after lunch.,ham
Your verification code is 1934. Do not share it with anyone.,ham
Mom asked if you are coming home tonight. See you.,ham
Thanks for your help today!,ham
Thanks for your help today!,ham
The meeting was moved to 7:30.,ham
Let's meet near the office.,ham
"I bought the tickets, everything is ready.",ham
Let's meet near the station.,ham
I will be at the airport around 5 pm.,ham
You are pre-approved for a special loan. Apply now. Don't miss out!,spam
You are pre-approved for a special loan. Apply now.,spam
Can you send me the address of the library?,ham
Can you send me the address of the cafe? Let me know.,ham
"I'm running a little late, see you soon.",ham
Your verification code is 7710. Do not share it with anyone.,ham
I'll call you after lunch.,ham
Claim your reward today. Text CLAIM to receive $1000. Reply STOP to unsubscribe.,spam
Your verification code is 4821. Do not share it with anyone.,ham
FREE entry into our prize draw. Reply YES now.,spam
Exclusive deal! Get 90% off today only. Click now.,spam
Free gift waiting for you. Click the link to claim $50. Offer expires today.,spam
You are pre-approved for a special loan. Apply now.,spam
Don't forget to bring the notes tomorrow.,ham
URGENT: Your number has been selected for a $1000 reward. Reply WIN now. Don't miss out!,spam
FREE entry into our prize draw. Reply YES now.,spam
"Hey Chris, are we still meeting at tomorrow morning?",ham
Let's meet near the school.,ham
"I'm running a little late, see you soon. :)",ham
URGENT: Your number has been selected for a $100 reward. Reply WIN now.,spam
Let's meet near the office. See you.,ham
Don't forget to bring the notes tomorrow.,ham
The meeting was moved to 5 pm. See you.,ham
"Hey Chris, are we still meeting at tomorrow morning?",ham
You are pre-approved for a special loan. Apply now.,spam
"I'm running a little late, see you soon.",ham
Special promotion: receive $50 instantly. Tap to continue.,spam
"Hey Dan, are we still meeting at 7:30?",ham
The meeting was moved to 5 pm.,ham
I will be at the office around 6 pm.,ham
I will be at the gym around tonight.,ham
Can you call me when you get home?,ham
"Hey Max, are we still meeting at in 20 minutes?",ham
The train arrives at tonight.,ham
Your account won a promotional prize of $1000. Confirm immediately. Reply STOP to unsubscribe.,spam
URGENT: Your number has been selected for a $100 reward. Reply WIN now.,spam
FREE entry into our prize draw. Reply YES now.,spam
Please send me the file when you have time.,ham
I will be at the airport around in 20 minutes. :),ham
Act fast! You've won a brand new phone. Claim today. Don't miss out!,spam
The train arrives at in 20 minutes. See you.,ham
Claim your reward today. Text CLAIM to receive $50.,spam
WINNER! Call now to receive your $100 bonus.,spam
Your verification code is 4821. Do not share it with anyone.,ham
"I'm running a little late, see you soon.",ham
Your appointment is confirmed for tomorrow morning.,ham
The train arrives at 7:30.,ham
Your verification code is 7710. Do not share it with anyone. Thanks.,ham
Act fast! You've won a brand new phone. Claim today. Offer expires today.,spam
Your verification code is 5502. Do not share it with anyone. See you.,ham
I'll call you after lunch.,ham
URGENT: Your number has been selected for a $1000 reward. Reply WIN now. Terms apply.,spam
Claim your reward today. Text CLAIM to receive $1000.,spam
Don't forget to bring the notes tomorrow.,ham
Please send me the file when you have time.,ham
Final notice: your prize is waiting. Respond now to collect it.,spam
Can you call me when you get home?,ham
FREE entry into our prize draw. Reply YES now.,spam
What do you want for dinner tonight?,ham
The meeting was moved to tonight.,ham
I will be at the gym around in 20 minutes.,ham
"I'm running a little late, see you soon. See you.",ham
Let's meet near the airport.,ham
WINNER! Call now to receive your $50 bonus.,spam
You are pre-approved for a special loan. Apply now. Offer expires today.,spam
FREE entry into our prize draw. Reply YES now.,spam
I'll call you after lunch.,ham
Let's meet near the school. Let me know.,ham
Let's meet near the airport.,ham
Congratulations! You won $250. Claim your prize now! Offer expires today.,spam
Final notice: your prize is waiting. Respond now to collect it.,spam
Your account won a promotional prize of $50. Confirm immediately.,spam
The train arrives at in 20 minutes.,ham
Final notice: your prize is waiting. Respond now to collect it.,spam
Don't forget to bring the notes tomorrow.,ham
I'll call you after lunch. :),ham
Your verification code is 1209. Do not share it with anyone. Thanks.,ham
Don't forget to bring the notes tomorrow.,ham
Please send me the file when you have time.,ham
Special promotion: receive $50 instantly. Tap to continue.,spam
Exclusive deal! Get 90% off today only. Click now.,spam
I will be at the cafe around after lunch.,ham
You have been chosen for an exclusive cash prize of $500.,spam
Can you call me when you get home? :),ham
URGENT: Your number has been selected for a $500 reward. Reply WIN now.,spam
URGENT: Your number has been selected for a $2000 reward. Reply WIN now.,spam
FREE entry into our prize draw. Reply YES now.,spam
The meeting was moved to 6 pm.,ham
URGENT: Your number has been selected for a $500 reward. Reply WIN now.,spam
The meeting was moved to in 20 minutes. Thanks.,ham
Don't forget to bring the notes tomorrow.,ham
Congratulations! You won $500. Claim your prize now!,spam
Are you free this weekend? Thanks.,ham
Please send me the file when you have time. See you.,ham
The meeting was moved to tomorrow morning.,ham
URGENT: Your number has been selected for a $100 reward. Reply WIN now. Don't miss out!,spam
Don't forget to bring the notes tomorrow.,ham
Happy birthday! Hope you have a great day.,ham
Mom asked if you are coming home tonight. See you.,ham
Act fast! You've won a brand new phone. Claim today.,spam
The train arrives at in 20 minutes. See you.,ham
The train arrives at 5 pm. Let me know.,ham
You have been chosen for an exclusive cash prize of $250. Reply STOP to unsubscribe.,spam
Mom asked if you are coming home tonight.,ham
Your verification code is 7710. Do not share it with anyone.,ham
"Congratulations, lucky customer! Your reward code is 5502.",spam
Can you send me the address of the school?,ham
Your verification code is 1209. Do not share it with anyone.,ham
The train arrives at 5 pm.,ham
I'll call you after lunch.,ham
Can you send me the address of the airport? See you.,ham
I left the keys on the table. Thanks.,ham
URGENT: Your number has been selected for a $100 reward. Reply WIN now. Reply STOP to unsubscribe.,spam
Let's meet near the gym.,ham
Claim your reward today. Text CLAIM to receive $250. Offer expires today.,spam
"I'm running a little late, see you soon. See you.",ham
Exclusive deal! Get 90% off today only. Click now.,spam
"Congratulations, lucky customer! Your reward code is 5502.",spam
Thanks for your help today! Thanks.,ham
Act fast! You've won a brand new phone. Claim today. Terms apply.,spam
"I bought the tickets, everything is ready.",ham
I'll call you after lunch. :),ham
I will be at the office around tomorrow morning.,ham
Your verification code is 8844. Do not share it with anyone.,ham
Free gift waiting for you. Click the link to claim $250.,spam
"I'm running a little late, see you soon. Thanks.",ham
Can you send me the address of the gym?,ham
URGENT: Your number has been selected for a $50 reward. Reply WIN now.,spam
Can you send me the address of the cafe?,ham
Happy birthday! Hope you have a great day.,ham
Don't forget to bring the notes tomorrow.,ham
You are pre-approved for a special loan. Apply now. Reply STOP to unsubscribe.,spam
"Hey Mia, are we still meeting at 7:30?",ham
Act fast! You've won a brand new phone. Claim today.,spam
Your verification code is 4821. Do not share it with anyone.,ham
Please send me the file when you have time.,ham
"I bought the tickets, everything is ready.",ham
Special promotion: receive $250 instantly. Tap to continue.,spam
What do you want for dinner tonight?,ham
Thanks for your help today!,ham
I will be at the school around 7:30.,ham
Thanks for your help today!,ham
Free gift waiting for you. Click the link to claim $500.,spam
URGENT: Your number has been selected for a $2000 reward. Reply WIN now. Offer expires today.,spam
Please send me the file when you have time.,ham
Don't forget to bring the notes tomorrow.,ham
WINNER! Call now to receive your $100 bonus.,spam
The meeting was moved to in 20 minutes.,ham
Don't forget to bring the notes tomorrow.,ham
You are pre-approved for a special loan. Apply now. Terms apply.,spam
Are you free this weekend?,ham
Thanks for your help today! See you.,ham
Your account won a promotional prize of $100. Confirm immediately.,spam
Mom asked if you are coming home tonight.,ham
Act fast! You've won a brand new phone. Claim today.,spam
Can you send me the address of the office?,ham
Don't forget to bring the notes tomorrow.,ham
Don't forget to bring the notes tomorrow. Thanks.,ham
Are you free this weekend?,ham
"I'm running a little late, see you soon. See you.",ham
Your account won a promotional prize of $250. Confirm immediately. Offer expires today.,spam
Thanks for your help today!,ham
What do you want for dinner tonight?,ham
You have been chosen for an exclusive cash prize of $500. Offer expires today.,spam
FREE entry into our prize draw. Reply YES now.,spam
"I'm running a little late, see you soon. See you.",ham
Your verification code is 1934. Do not share it with anyone.,ham
URGENT: Your number has been selected for a $50 reward. Reply WIN now.,spam
Congratulations! You won $2000. Claim your prize now!,spam
Can you call me when you get home?,ham
Exclusive deal! Get 90% off today only. Click now.,spam
URGENT: Your number has been selected for a $50 reward. Reply WIN now.,spam
The train arrives at 6 pm.,ham
Let's meet near the office.,ham
Don't forget to bring the notes tomorrow.,ham
Special promotion: receive $500 instantly. Tap to continue. Terms apply.,spam
Happy birthday! Hope you have a great day.,ham
Your verification code is 4821. Do not share it with anyone.,ham
Congratulations! You won $1000. Claim your prize now! Don't miss out!,spam
Act fast! You've won a brand new phone. Claim today. Reply STOP to unsubscribe.,spam
Limited offer: get a free voucher worth $1000. Act now!,spam
